,0,1,2
3674,0.110007251,SEMICONDUCTORS & RELATED DEVICES,"['NVDA', 'AVGO', 'AMD', 'TXN', 'AMAT', 'ADI', 'MU', 'INTC', 'NXPI', 'MCHP', 'MPWR', 'ON', 'FSLR', 'SWKS', 'ENPH', 'QRVO']"
7372,0.09892445,SERVICES-PREPACKAGED SOFTWARE,"['MSFT', 'CRM', 'ORCL', 'NOW', 'ADBE', 'INTU', 'PLTR', 'CDNS', 'CRWD', 'SNPS', 'ADSK', 'EA', 'TTWO', 'ANSS', 'TYL', 'PTC', 'GEN', 'DAY', 'PAYC']"
3571,0.075669772,ELECTRONIC COMPUTERS,"['AAPL', 'DELL', 'SMCI']"
7370,0.067706919,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","['META', 'GOOGL', 'GOOG', 'FDS', 'MTCH']"
2834,0.045542565,PHARMACEUTICAL PREPARATIONS,"['LLY', 'JNJ', 'ABBV', 'MRK', 'ABT', 'PFE', 'BMY', 'VRTX', 'REGN', 'ZTS', 'VTRS']"
5961,0.041897168,RETAIL-CATALOG & MAIL-ORDER HOUSES,"['AMZN', 'CDW']"
7389,0.036439343,"SERVICES-BUSINESS SERVICES, NEC","['V', 'MA', 'ACN', 'UBER', 'FI', 'PYPL', 'FICO', 'MSCI', 'FIS', 'EBAY', 'CSGP', 'GPN', 'BR', 'CPAY', 'AKAM', 'AMTM']"
6021,0.034071334,NATIONAL COMMERCIAL BANKS,"['JPM', 'BAC', 'WFC', 'C', 'PNC', 'USB', 'COF', 'TFC', 'HBAN', 'RF', 'KEY']"
3711,0.024209757,MOTOR VEHICLES & PASSENGER CAR BODIES,"['TSLA', 'GM', 'PCAR', 'F']"
2911,0.020725251,PETROLEUM REFINING,"['XOM', 'CVX', 'COP', 'PSX', 'MPC', 'VLO', 'HES']"
6798,0.019009089,REAL ESTATE INVESTMENT TRUSTS,"['PLD', 'EQIX', 'AMT', 'WELL', 'DLR', 'SPG', 'PSA', 'O', 'CCI', 'EXR', 'AVB', 'IRM', 'VICI', 'VTR', 'EQR', 'SBAC', 'WY', 'ESS', 'MAA', 'KIM', 'ARE', 'DOC', 'UDR', 'CPT', 'HST', 'REG', 'BXP', 'FRT']"
5331,0.017920651,RETAIL-VARIETY STORES,"['COST', 'WMT', 'TGT', 'DG', 'DLTR']"
6324,0.014230207,HOSPITAL & MEDICAL SERVICE PLANS,"['UNH', 'ELV', 'CI', 'CNC', 'HUM', 'MOH']"
